,city,lat,lon,population
3598,Ocumare del Tuy,10.1136,-66.7814,150000.0
3601,Valdivia,-39.8142,-73.2459,150048.0
3619,Concordia,-31.3922,-58.0169,149450.0
3638,Quilpué,-33.0498,-71.4415,147991.0
3654,Osorno,-40.5667,-73.15,147460.0
3658,Mogi Guaçu,-22.3719,-46.9419,147233.0
3673,Franco da Rocha,-23.3286,-46.7244,145755.0
3680,Colina,-33.2,-70.6833,146207.0
3685,Santo Agostinho,-8.29,-35.03,146219.0
3687,Parnaíba,-2.905,-41.7769,145705.0
3700,San Justo,-34.6833,-58.55,136604.0
3703,Pôrto Seguro,-16.45,-39.065,145431.0
3706,Villa de Cura,10.0386,-67.4894,145098.0
3717,Barranca,-10.7539,-77.761,144381.0
3726,Florencia,1.6142,-75.6117,143871.0
3743,Jaú,-22.2958,-48.5578,143283.0
3746,Jaraguá do Sul,-26.4858,-49.0669,143123.0
3749,Los Ángeles,-37.4707,-72.3517,143023.0
3773,Rio das Ostras,-22.5269,-41.945,141117.0
3801,Paranaguá,-25.5208,-48.5094,140469.0
3807,Yaritagua,10.0753,-69.1283,140256.0
3810,Fusagasugá,4.3372,-74.3644,139805.0
3813,Ituzaingó,-34.6582,-58.6672,135275.0
3824,Botucatu,-22.8858,-48.445,139483.0
3863,Palhoça,-27.6444,-48.6678,137334.0
3869,Atibaia,-23.1172,-46.5506,137187.0
3874,Quillacollo,-17.3975,-66.2817,137182.0
3875,Garanhuns,-8.8903,-36.4928,136949.0
3881,Curicó,-34.9854,-71.2394,136954.0
3907,Rionegro,6.1533,-75.3742,135465.0
3920,Cartago,4.75,-75.91,134827.0
3926,Santa Rita,-7.1139,-34.9778,134940.0
3928,Milagro,-2.1347,-79.5872,133508.0
3933,Teófilo Otoni,-17.8578,-41.505,134745.0
3969,Pitalito,1.8539,-76.0514,133205.0
3976,Crato,-7.2339,-39.4089,133031.0
3979,Sinop,-11.8639,-55.5039,132934.0
3983,Cametá,-2.2439,-49.4958,132515.0
3984,Ibarra,0.3628,-78.13,131856.0
3992,Calabozo,8.9219,-67.4283,131989.0
3998,Los Guayos,10.1833,-67.9333,130345.0
4000,Ji-Paraná,-10.8853,-61.9517,131560.0
4018,Quibdó,5.6923,-76.6582,130825.0
4019,Girardot,4.3036,-74.8039,129834.0
4020,Pouso Alegre,-22.2281,-45.9336,130615.0
4029,Vitória de Santo Antão,-8.1264,-35.3075,129974.0
4049,Villa Alemana,-33.0428,-71.3744,125140.0
4050,Ciénaga,11.0067,-74.2467,129414.0
4051,Táriba,7.8167,-72.2167,128590.0
4061,Araras,-22.3569,-47.3839,128895.0
4063,Puno,-15.8433,-70.0236,128637.0
4067,Salto,-31.3883,-57.9606,124878.0
4070,Temperley,-34.7667,-58.3833,121451.0
4085,Ramos Mejía,-34.65,-58.5667,120346.0
4090,La Granja,-33.5431,-70.6319,116571.0
4092,Guasdualito,7.2467,-70.7292,128025.0
4098,Cubatão,-23.8953,-46.4256,127006.0
4100,Maricá,-22.9189,-42.8189,127461.0
4116,Balneário de Camboriú,-26.9908,-48.635,124557.0
4117,Santana de Parnaíba,-23.4439,-46.9178,126574.0
4123,Duitama,5.8219,-73.0297,126670.0
4136,Sabará,-19.8858,-43.8069,126269.0
4139,Barbacena,-21.2258,-43.7739,126284.0
4157,Cagua,10.1875,-67.4611,122571.0
4158,Jandira,-23.5278,-46.9028,118832.0
4167,Uruguaiana,-29.755,-57.0878,125435.0
4168,Porlamar,10.9556,-63.8478,120924.0
4170,Resende,-22.4689,-44.4469,125214.0
4207,Magangué,9.2467,-74.7594,123906.0
4208,Maicao,11.3778,-72.2414,123757.0
4213,Melipilla,-33.7,-71.2167,123627.0
4221,Punta Arenas,-53.1627,-70.9081,123403.0
4222,Varginha,-21.5508,-45.43,123081.0
4232,Bragança,-1.0628,-46.7728,122881.0
4234,Barretos,-20.5569,-48.5678,119243.0
4238,Machiques,10.0667,-72.5667,122734.0
4255,Ciudad Ojeda,10.2,-71.3,122124.0
4266,Guarapari,-20.6578,-40.5108,121506.0
4267,Ribeirão Pires,-23.7108,-46.4128,120396.0
4280,Apartadó,7.8847,-76.635,121003.0
4284,Apucarana,-23.5508,-51.4608,120919.0
4285,Valinhos,-22.9708,-46.9958,120258.0
4287,Cachoeirinha,-29.9508,-51.0939,118278.0
4308,Sertãozinho,-21.1378,-47.99,120152.0
4310,Poá,-23.5286,-46.345,113793.0
4313,San Carlos,9.65,-68.5833,120000.0
4316,Várzea Paulista,-23.2108,-46.8278,116601.0
4318,Catanduva,-21.1378,-48.9728,119480.0
4323,Lomas de Zamora,-34.7667,-58.4,112580.0
4334,Toledo,-24.7139,-53.7428,119313.0
4337,Araucária,-25.5928,-49.41,119123.0
4340,Paulo Afonso,-9.4078,-38.2219,119214.0
4341,Guaratinguetá,-22.8167,-45.2278,119073.0
4343,Huaraz,-9.5333,-77.5333,118836.0
4350,Charallave,10.2431,-66.8622,117707.0
4363,Barcarena Nova,-1.5058,-48.6258,118537.0
4366,Birigui,-21.2889,-50.34,118352.0
4369,Santa Cruz do Sul,-29.7178,-52.4258,118374.0
4373,Votorantim,-23.5469,-47.4378,117794.0
4378,La Asunción,11.0333,-63.8628,117513.0
4383,Codó,-4.455,-43.8858,118038.0
4395,Uribia,11.7139,-72.2658,117674.0
4396,Piedecuesta,6.9886,-73.0503,117364.0
4401,San Martín,-33.0806,-68.4706,117399.0
4416,Facatativá,4.8147,-74.3553,117133.0
4417,Guadalajara de Buga,3.9036,-76.2986,116893.0
4421,Mendoza,-32.8833,-68.8333,114822.0
4422,Tandil,-37.3167,-59.1333,116917.0
4427,Araguari,-18.6489,-48.1869,116871.0
4428,Tatuí,-23.3556,-47.8569,116682.0
4433,Conselheiro Lafaiete,-20.66,-43.7858,116512.0
4434,Bagé,-31.3308,-54.1069,116794.0
4437,Santander de Quilichao,3.0083,-76.4839,116535.0
4440,Coronel,-37.0167,-73.1333,116262.0
4459,Itapipoca,-3.4939,-39.5789,116065.0
4465,Valle de La Pascua,9.2033,-66.0103,115902.0
4474,Pedro Juan Caballero,-22.5667,-55.7167,115583.0
4475,Três Lagoas,-20.7511,-51.6783,115561.0
4483,Puerto Madryn,-42.773,-65.0366,115353.0
4490,Sogamoso,5.7143,-72.9339,114486.0
4492,Salto,-23.2008,-47.2869,114171.0
4503,Ciudad de la Costa,-34.8167,-55.95,112449.0
4505,Bernal,-34.7,-58.2833,109914.0
4528,Maranguape,-3.89,-38.6858,113561.0
4531,Itatiba,-23.0058,-46.8389,113284.0
4532,Ubá,-21.12,-42.9428,113300.0
4534,Caraguatatuba,-23.62,-45.4128,113317.0
4545,Euriápolis,-16.3778,-39.58,113191.0
4548,Montero,-17.3333,-63.3833,112837.0
4549,Madrid,4.7306,-74.2639,112254.0
4554,Castelar,-34.65,-58.65,107786.0
4558,San Carlos de Bariloche,-41.15,-71.3,112887.0
4563,Esteban Echeverría,-34.8167,-58.4667,109644.0
4565,Santa Lucía,10.2606,-66.6639,112357.0
